CIDADE_INI,CIDADE_FIM,N_AUTOS,EMPRESA,DESCRICAO,CARACTERISTICA
MARTINÓPOLIS,PRESIDENTE PRUDENTE,6642A,GUERINO SEISCENTO TRANSPORTES S/A,ASSIS - PRESIDENTE PRUDENTE,Semiurbana
MARTINÓPOLIS,PRESIDENTE PRUDENTE,7141A,GUERINO SEISCENTO TRANSPORTES S/A,MARILIA - POMPEIA,Semiurbana
MARTINÓPOLIS,PRESIDENTE PRUDENTE,5121A,JANDAIA TRANSPORTES E TURISMO LTDA,PRESIDENTE PRUDENTE - MARTINOPOLIS,Semiurbana
MARTINÓPOLIS,PRESIDENTE PRUDENTE,7084A,JANDAIA TRANSPORTES E TURISMO LTDA,CAIABU - PRESIDENTE PRUDENTE,Semiurbana
MARTINÓPOLIS,PRESIDENTE PRUDENTE,7089A,JANDAIA TRANSPORTES E TURISMO LTDA,ADAMANTINA - PRESIDENTE PRUDENTE,Semiurbana
MARTINÓPOLIS,QUATÁ,4656A,EMPRESA DE TRANSPORTES ANDORINHA S/A,PRESIDENTE PRUDENTE - SÃO PAULO(BARRA FUNDA),Rodoviária Convencional
MARTINÓPOLIS,QUATÁ,6642A,GUERINO SEISCENTO TRANSPORTES S/A,ASSIS - PRESIDENTE PRUDENTE,Semiurbana
MARTINÓPOLIS,QUINTANA,6206A,EXPRESSO ADAMANTINA LTDA,MARILIA - RIBEIRAO PRETO,Rodoviária Convencional
MARTINÓPOLIS,QUINTANA,7141A,GUERINO SEISCENTO TRANSPORTES S/A,MARILIA - POMPEIA,Semiurbana
MARTINÓPOLIS,RANCHARIA,4656A,EMPRESA DE TRANSPORTES ANDORINHA S/A,PRESIDENTE PRUDENTE - SÃO PAULO(BARRA FUNDA),Rodoviária Convencional
MARTINÓPOLIS,RANCHARIA,6642A,GUERINO SEISCENTO TRANSPORTES S/A,ASSIS - PRESIDENTE PRUDENTE,Semiurbana
MARTINÓPOLIS,RIBEIRÃO PRETO,6206A,EXPRESSO ADAMANTINA LTDA,MARILIA - RIBEIRAO PRETO,Rodoviária Convencional
MARTINÓPOLIS,SAGRES,7089A,JANDAIA TRANSPORTES E TURISMO LTDA,ADAMANTINA - PRESIDENTE PRUDENTE,Semiurbana
